NAMESPACE                      NAME                                                              READY   STATUS             RESTARTS          AGE    IP                NODE          NOMINATED NODE   READINESS GATES
kube-system                    kube-proxy-fjwsx                                                  1/1     Running            6 (53d ago)       420d   192.168.160.114   csco-k8s-04   <none>           <none>
kube-system                    kube-proxy-jtczg                                                  1/1     Running            6 (80d ago)       420d   192.168.160.112   csco-k8s-02   <none>           <none>
kube-system                    kube-proxy-rg4l9                                                  1/1     Running            7 (80d ago)       418d   192.168.160.113   csco-k8s-03   <none>           <none>
kube-system                    kube-scheduler-csco-k8s-01                                        1/1     Running            59 (47d ago)      420d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    nvidia-device-plugin-daemonset-6qt24                              1/1     Running            2 (80d ago)       226d   10.244.1.29       csco-k8s-02   <none>           <none>
kube-system                    nvidia-device-plugin-daemonset-bxr6t                              1/1     Running            7 (80d ago)       396d   10.244.0.147      csco-k8s-01   <none>           <none>
kube-system                    nvidia-device-plugin-daemonset-dmv9j                              1/1     Running            7 (80d ago)       396d   10.244.2.127      csco-k8s-03   <none>           <none>
kube-system                    nvidia-device-plugin-daemonset-hmgwj                              1/1     Running            5 (53d ago)       396d   10.244.3.181      csco-k8s-04   <none>           <none>
kube-system                    rdma-shared-dp-ds-84dks                                           1/1     Running            0                 2d2h   192.168.160.113   csco-k8s-03   <none>           <none>
kube-system                    rdma-shared-dp-ds-jv5rv                                           1/1     Running            0                 2d2h   192.168.160.114   csco-k8s-04   <none>           <none>
kube-system                    rdma-shared-dp-ds-r92sp                                           1/1     Running            0                 2d2h   192.168.160.112   csco-k8s-02   <none>           <none>
kube-system                    rdma-shared-dp-ds-xnzqh                                           1/1     Running            0                 2d2h   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    snapshot-controller-0                                             1/1     Running            7 (80d ago)       410d   10.244.2.205      csco-k8s-03   <none>           <none>
kube-system                    tetragon-htxhm                                                    1/1     Running            2 (80d ago)       191d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    tetragon-kmprx                                                    1/1     Running            2 (80d ago)       187d   192.168.160.112   csco-k8s-02   <none>           <none>
kube-system                    tetragon-nwjn8                                                    1/1     Running            29 (6d18h ago)    191d   192.168.160.114   csco-k8s-04   <none>           <none>
kube-system                    tetragon-operator-c5858c567-mt9tw                                 1/1     Running            259 (6d18h ago)   191d   10.244.3.179      csco-k8s-04   <none>           <none>
